,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,55746,10434,3638,57149,51005,51422,5747,1534,5880,2534,10057,11137,79716,9670,2625,7852,5721,1829,11261,94239,80347,30849,8900,58497,6709,54681,55608,10557,7105,1788,3925,8553,2887,57178,79170,7077,11072,26036,10523,6813,1891,1070,26128,2063,55033,5547,9695,10857,3566,2946,1831,79850,27032,388650,1213,51071,3108,6118,10670,7099,8324,392,896,1848,148022,9552,51293,23271,3930,9709,60528,102,9703,27346,6697,5111,8061,10904,26227,6990,890,5440,256364,5829,57048,1050,6856,80212,11319,9761,6790,22934,9926,1019,4043,3157,23013,5873,23635,2624
1,7852,55608,10434,5467,80212,9670,11137,3553,27336,1829,94239,8553,6119,8900,6804,4172,4303,7105,23244,2887,211,58497,2625,7077,39,1891,25805,10059,55033,11031,3775,5831,23636,57149,10670,2063,1050,4791,23338,9552,9703,481,5111,6347,5440,6944,55008,51293,3638,5287,9761,256364,148022,57048,9709,6697,23635,23013,51170,6253,2770,3930,9212,466,11072,332,3315,51097,4125,10641,983,23647,670,10489,10270,3611,10320,1277,26136,8974,2767,1788,868,9053,3486,1465,6193,23212,2058,25987,5058,7485,9917,9276,10954,727,29763,5359,5357,5796
2,9637,9797,3454,1786,3925,5883,55608,25874,10434,5467,3638,79716,51422,10150,3553,7074,9670,11137,6499,5525,23463,10682,1829,5721,94239,23368,27336,8553,30849,91949,55129,6804,4172,58478,4303,7105,637,835,10892,1788,1994,11072,200081,6500,7077,54505,39,58533,388650,55699,4780,11151,5373,11031,3725,9695,7494,695,3775,2946,5831,1019,1831,79850,10765,51071,23636,4791,9053,9915,7099,481,9552,10489,148022,9709,3930,9703,5111,6347,5440,23647,5092,6944,6697,55008,1848,5287,466,5096,1465,22889,102,6990,9761,5588,11319,5355,2690,3206
3,55608,10434,3638,3312,5467,79716,2534,11137,10057,2625,10682,1829,94239,10973,6119,10038,58497,4172,6709,30,10398,7105,9019,896,25932,1788,63933,4303,1452,11072,1534,1994,57178,7077,9517,79170,39,56940,84617,1891,25805,11261,80347,6714,55033,10059,26036,3157,26054,3566,3775,79850,7157,60493,9709,10491,3682,10670,9053,1848,7153,23338,51293,392,9703,10732,6347,5440,7494,6944,5831,4791,5287,9926,102,8318,9761,8821,57048,7016,55008,11319,10123,256364,6790,6772,8900,23635,23013,6657,51170,4850,7106,51116,6253,2770,9212,8061,3480,51097
4,23325,7852,57149,1786,3925,55608,10434,3638,2534,27032,11137,10057,27336,10557,1829,1534,4482,80347,5613,10038,23142,8900,55129,6709,6804,4172,58497,58478,637,56889,7105,2887,1802,1994,11072,6500,39,7157,9128,2063,6813,23522,1891,1070,10059,5997,4851,3157,11031,207,9695,79921,3566,5880,55033,3775,1213,5831,56940,9053,23636,51071,1831,4791,84617,10670,7099,9552,10523,4067,51293,23271,9703,6347,10049,7077,5440,29103,5287,102,392,9761,6990,10892,481,890,10123,323,11319,5355,9915,23635,4043,23013,3280,51170,7106,10174,6253,55011
5,57149,5986,3638,5467,79716,51422,58533,1534,5747,11261,2534,80212,54442,11137,5880,9670,5525,10557,94239,10973,5898,8553,30849,80347,91949,2109,23597,6709,6804,55129,4172,58478,10434,4303,7105,23499,896,25932,56889,1788,5154,2887,7077,39,2063,6813,56940,1891,25805,55148,84617,1070,26036,79921,5373,26128,55033,60493,9695,10857,3775,1213,79850,2946,1950,5710,1831,22934,10670,7099,5601,148022,23271,11182,6347,102,4791,5440,4864,55008,6944,5287,8061,8821,890,57048,64746,11319,6990,9531,6772,6193,23635,4043,51170,7106,1829,23013,6253,23212
6,7852,9637,3638,55608,1534,79600,9670,10557,1829,5721,64746,5613,10038,8900,58497,5873,4172,2534,57804,7105,2887,11072,56889,1994,7077,211,39,56940,1802,6184,6813,23522,1891,10059,55033,79921,4851,3157,5880,8324,3566,3108,2946,323,1019,2886,7158,8553,9709,79850,51071,3775,392,976,11151,4791,10670,6676,5547,5829,51293,9686,23271,60528,102,9552,154,9703,148022,5715,4067,5440,8061,26227,6990,890,256364,8851,4850,7099,26136,23368,5355,6790,6193,55556,8678,6772,23635,23013,26036,23321,51170,6253,55011,84890,64781,5831,2770,23210
7,57149,55608,5467,11261,80212,11137,9670,2625,94239,7852,10973,3638,30849,80347,8553,1829,10038,8900,58497,4172,7105,25932,56889,211,6500,7077,39,26036,2887,1891,25805,10489,11072,56940,23522,3775,5831,1831,23636,3566,10670,7099,1848,11031,148022,481,9695,695,9703,51293,6347,5440,4851,5111,5287,6944,55033,91949,55008,60493,256364,466,23244,55556,6193,23635,6772,23013,51170,6253,23338,23212,1050,9212,3315,1465,51097,670,1662,10641,5261,10112,2769,55604,10270,6304,10320,1277,332,868,6697,3486,1605,147179,4690,50865,2058,5058,23061,25987
8,7852,1786,3925,55608,10434,3638,3312,2534,10057,27032,11137,1454,10557,11261,2264,1829,5883,94239,3553,9637,10973,30849,80347,8553,10038,8900,9217,6709,58478,4303,4172,7105,2184,896,1788,2887,51015,211,7077,6616,1802,39,7157,6184,2063,9851,1891,25805,3725,11031,9695,26054,10857,10059,3566,2946,9053,3775,5831,1831,79850,9709,3682,9915,10670,7099,4864,148022,9552,23338,1050,9703,23271,1848,102,3930,6347,5440,10491,55008,6944,5287,27346,9761,57048,7016,1213,11319,23635,4043,23013,3280,51170,7106,3611,6253,23212,57178,1846,8821
9,7852,57149,1786,55608,5467,3638,7074,2534,27032,10557,2115,10434,1829,5721,64746,9670,4482,10038,1534,58497,6709,54681,80347,8900,5525,7105,637,56889,25932,5898,39,7157,57178,6813,23522,1891,25805,55033,79921,4851,3157,6676,11031,10857,3566,5831,1831,9053,9709,23142,6616,23636,4791,10670,148022,79170,23061,51293,9703,23271,7750,79850,6347,5829,102,5440,6944,4067,1070,26227,5715,6990,9761,5111,5355,6790,55556,23635,23013,4043,51170,51071,23321,2063,6253,55011,23212,7106,9212,3611,3315,10921,51097,670,6304,983,10112,23210,84890,9903
10,23325,55746,2264,9797,9637,3454,7852,3925,51005,665,3638,55608,79716,5880,79600,2534,10057,51422,27032,57149,9217,54442,11137,11261,6499,1829,9670,2115,23368,9842,5883,116832,949,10973,4482,64746,30849,80347,10557,91949,2961,10038,55129,6709,4172,58478,51015,6118,56889,1788,5997,1994,1802,57178,54505,4780,835,6184,10523,10489,388650,6813,1891,5782,1070,6714,55033,25932,2810,4851,207,3157,5547,11031,60493,26054,6500,23499,695,3775,1213,1831,6919,9709,5909,51071,11151,10782,9695,10491,392,9455,1050,976,10857,4791,22934,39,7099,481
11,7852,1786,5986,25803,27032,11261,11137,79600,6119,9517,1829,64746,27336,5777,116832,2534,9851,4482,3638,10973,30849,5721,8900,5891,10038,58497,54681,5873,6709,4172,51015,22809,63933,10398,4303,9019,6804,637,993,51422,1788,1452,55608,57178,79170,39,26036,10489,6813,23522,56940,1070,26128,10059,55033,25805,11151,79921,4851,9695,3157,1891,3566,7158,3775,9709,10523,5909,79850,51071,23636,392,10670,7099,8440,1848,148022,51293,9703,4791,5601,7750,5715,5440,466,23271,27346,26136,9650,9926,6944,9552,8821,10857,8318,26227,9897,6990,5588,9761
12,7852,5986,55608,5467,3638,51422,79600,1534,2115,11261,27032,2534,9670,11137,5525,10557,23244,2625,9517,1829,94239,3925,5721,949,30849,8324,8900,54681,4172,2961,58478,7105,23499,58497,993,6709,4303,1788,5873,2887,56889,11072,211,39,26036,84617,56940,10489,388650,1891,25805,1070,55033,4851,54505,11031,26054,3108,10059,3775,1831,3566,9270,79850,5909,392,4791,10670,5601,2946,148022,7077,51293,23271,3157,9703,4846,6347,60528,5440,9650,8914,5287,1465,27346,5111,26227,6990,54205,890,8851,11004,256364,4864,4850,57048,8678,3206,6790,23338
